Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
CXCL1,ENST00000395761.3,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) ",5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0066,0.0467,0.2688,-0.54,-0.54,N/A,"NULL
"
CLVS2,ENST00000275162.5,clavesin 2 ,19,1,0,1,0,4,1,2,1,0,hsa-miR-532-5p,0.023,0.1633,0.9416,-0.53,-0.75,N/A,"NULL
"
TTC14,ENST00000412756.2,tetratricopeptide repeat domain 14 ,99,1,1,0,0,2,0,2,0,1,hsa-miR-532-5p,0.0312,0.2146,1.0821,-0.53,-0.56,N/A,"NULL
"
CCDC64,ENST00000397558.2,coiled-coil domain containing 64 ,7,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0114,0.0788,0.3913,-0.5,-0.5,N/A,2007
CXCL2,ENST00000508487.2,chemokine (C-X-C motif) ligand 2 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0051,0.0367,0.2196,-0.49,-0.49,N/A,"NULL
"
CYCS,ENST00000305786.2,"cytochrome c, somatic ",320,1,0,1,0,1,1,0,0,0,hsa-miR-532-5p,0.0094,0.0684,0.4396,-0.47,-0.49,N/A,2007
ZMPSTE24,ENST00000372759.3,zinc metallopeptidase STE24 ,513,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.011,0.0778,0.4381,-0.45,-0.45,N/A,"NULL
"
ERO1L,ENST00000395686.3,ERO1-like (S. cerevisiae) ,1333,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0126,0.0896,0.5337,-0.44,-0.45,N/A,"NULL
"
CCNG1,ENST00000340828.2,cyclin G1 ,1547,1,1,0,0,1,0,0,1,0,hsa-miR-532-5p,0.0171,0.116,0.5498,-0.44,-0.46,N/A,"NULL
"
DDHD1,ENST00000323669.5,DDHD domain containing 1 ,103,1,1,0,0,2,0,1,1,2,hsa-miR-532-5p,0.0216,0.1496,0.7794,-0.43,-0.59,N/A,"NULL
"
NFATC2IP,ENST00000320805.4,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein ",754,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0143,0.0968,0.449,-0.43,-0.43,N/A,"NULL
"
GPR137C,ENST00000321662.6,G protein-coupled receptor 137C ,110,1,1,0,0,0,0,0,0,2,hsa-miR-532-5p,0.0124,0.0866,0.4635,-0.41,-0.45,N/A,"NULL
"
TAP1,ENST00000354258.4,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) ",69,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.008,0.0564,0.3064,-0.39,-0.39,N/A,"NULL
"
SLC25A14,ENST00000218197.5,"solute carrier family 25 (mitochondrial carrier, brain), member 14 ",46,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0078,0.0548,0.3036,-0.39,-0.39,N/A,"NULL
"
FGF14,ENST00000376131.4,fibroblast growth factor 14 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0077,0.0544,0.3121,-0.39,-0.39,N/A,"NULL
"
GBP3,ENST00000370481.4,guanylate binding protein 3 ,72,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0113,0.0781,0.3961,-0.38,-0.38,N/A,"NULL
"
SLC39A8,ENST00000394833.2,"solute carrier family 39 (zinc transporter), member 8 ",228,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0072,0.0513,0.3053,-0.35,-0.35,N/A,2007
UBE2E3,ENST00000410062.4,ubiquitin-conjugating enzyme E2E 3 ,15,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.011,0.0778,0.4508,-0.35,-0.35,N/A,"NULL
"
RCOR1,ENST00000262241.6,REST corepressor 1 ,403,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0102,0.0711,0.3649,-0.35,-0.35,N/A,2007
IRS2,ENST00000375856.3,insulin receptor substrate 2 ,231,1,1,0,0,0,0,0,0,2,hsa-miR-532-5p,0.0234,0.1612,0.8255,-0.35,-0.35,N/A,2007
SESTD1,ENST00000428443.3,SEC14 and spectrin domains 1 ,478,2,2,0,0,3,0,1,2,2,hsa-miR-532-5p,0.0149,0.1045,0.573,-0.34,-0.64,N/A,2007
STC2,ENST00000265087.4,stanniocalcin 2 ,1112,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0167,0.1139,0.5635,-0.34,-0.41,N/A,"NULL
"
C11orf87,ENST00000327419.6,chromosome 11 open reading frame 87 ,5,1,0,1,0,1,0,1,0,0,hsa-miR-532-5p,0.0153,0.1085,0.6342,-0.34,-0.34,N/A,"NULL
"
DHFR,ENST00000511032.1,dihydrofolate reductase ,5,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0037,0.0268,0.169,-0.33,-0.33,N/A,"NULL
"
C11orf31,ENST00000534355.1,chromosome 11 open reading frame 31 ,4374,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0047,0.0336,0.2046,-0.33,-0.33,N/A,"NULL
"
CPEB3,ENST00000412050.4,cytoplasmic polyadenylation element binding protein 3 ,48,2,1,1,0,1,0,1,0,1,hsa-miR-532-5p,0.0171,0.1213,0.6992,-0.33,-0.33,N/A,2007
RABIF,ENST00000367262.3,RAB interacting factor ,948,1,0,1,0,1,1,0,0,2,hsa-miR-532-5p,0.006,0.0432,0.2596,-0.32,-0.7,N/A,"NULL
"
NYAP2,ENST00000272907.6,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0129,0.0892,0.4458,-0.32,-0.32,N/A,"NULL
"
PAK7,ENST00000378423.1,p21 protein (Cdc42/Rac)-activated kinase 7 ,6,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0103,0.0735,0.4309,-0.32,-0.32,N/A,2007
TMEM254,ENST00000372275.1,transmembrane protein 254 ,61,1,0,1,0,1,0,0,1,1,hsa-miR-532-5p,0.0077,0.0553,0.3472,-0.32,-0.38,N/A,"NULL
"
LINGO2,ENST00000379992.2,leucine rich repeat and Ig domain containing 2 ,52,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0113,0.0797,0.4421,-0.32,-0.32,N/A,"NULL
"
RAB11A,ENST00000569896.1,"RAB11A, member RAS oncogene family ",5781,2,0,2,0,1,0,1,0,2,hsa-miR-532-5p,0.0058,0.0417,0.2571,-0.31,-0.65,N/A,2007
NFIB,ENST00000397575.3,nuclear factor I/B ,1149,1,0,1,0,2,0,1,1,1,hsa-miR-532-5p,0.0158,0.1128,0.6733,-0.31,-0.45,N/A,2007
ZDHHC13,ENST00000446113.2,"zinc finger, DHHC-type containing 13 ",76,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0078,0.055,0.3032,-0.31,-0.31,N/A,"NULL
"
MCTP1,ENST00000515393.1,"multiple C2 domains, transmembrane 1 ",81,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.011,0.076,0.3797,-0.3,-0.3,N/A,"NULL
"
IL6ST,ENST00000381287.4,"interleukin 6 signal transducer (gp130, oncostatin M receptor) ",213,1,1,0,0,1,0,1,0,1,hsa-miR-532-5p,0.0133,0.0951,0.5658,-0.3,-0.3,N/A,"NULL
"
IARS2,ENST00000366922.1,"isoleucyl-tRNA synthetase 2, mitochondrial ",2978,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0065,0.0461,0.2661,-0.3,-0.3,N/A,2007
MDH2,ENST00000315758.5,"malate dehydrogenase 2, NAD (mitochondrial) ",9055,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0055,0.0396,0.2411,-0.3,-0.3,N/A,"NULL
"
LEP,ENST00000308868.4,leptin ,5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0087,0.0609,0.3238,-0.3,-0.3,N/A,2007
ZNF148,ENST00000360647.4,zinc finger protein 148 ,230,1,1,0,0,0,0,0,0,3,hsa-miR-532-5p,0.0169,0.1212,0.7413,-0.3,-0.44,N/A,"NULL
"
PCED1A,ENST00000360652.2,PC-esterase domain containing 1A ,642,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0055,0.039,0.2308,-0.29,-0.29,N/A,"NULL
"
CAPN3,ENST00000356316.3,"calpain 3, (p94) ",34,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0118,0.081,0.3984,-0.29,-0.29,N/A,"NULL
"
BHLHB9,ENST00000372735.1,"basic helix-loop-helix domain containing, class B, 9 ",5,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0147,0.1025,0.5554,-0.29,-0.29,N/A,"NULL
"
MTMR4,ENST00000579925.1,myotubularin related protein 4 ,150,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0121,0.0841,0.4394,-0.29,-0.29,N/A,"NULL
"
HSPA9,ENST00000297185.3,heat shock 70kDa protein 9 (mortalin) ,573,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0099,0.0685,0.3525,-0.28,-0.35,N/A,2007
MPP7,ENST00000375732.1,"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) ",50,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0086,0.0605,0.3313,-0.28,-0.4,N/A,2007
PSMD9,ENST00000541212.1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 ",1981,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0064,0.046,0.2786,-0.28,-0.28,N/A,"NULL
"
MKL2,ENST00000318282.5,MKL/myocardin-like 2 ,992,1,0,1,0,2,0,2,0,0,hsa-miR-532-5p,0.0207,0.1483,0.8905,-0.27,-0.28,N/A,"NULL
"
MEIS1,ENST00000488550.1,Meis homeobox 1 ,533,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.01,0.0712,0.4095,-0.27,-0.27,N/A,"NULL
"
ST6GALNAC5,ENST00000477717.1,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 ",7,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0078,0.0564,0.3585,-0.27,-0.27,N/A,"NULL
"
PURA,ENST00000331327.3,purine-rich element binding protein A ,367,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0088,0.0626,0.3682,-0.27,-0.28,N/A,2007
PP13439,ENST00000331659.2,,289,1,0,1,0,1,0,1,0,0,hsa-miR-532-5p,0.0137,0.0969,0.5399,-0.26,-0.27,N/A,"NULL
"
DGKH,ENST00000261491.5,"diacylglycerol kinase, eta ",46,1,1,0,0,5,1,1,3,2,hsa-miR-532-5p,0.0214,0.1546,0.9756,-0.26,-0.43,N/A,"NULL
"
RAVER2,ENST00000371072.4,"ribonucleoprotein, PTB-binding 2 ",218,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.008,0.056,0.3084,-0.26,-0.49,N/A,2007
FRS2,ENST00000550389.1,fibroblast growth factor receptor substrate 2 ,176,2,1,1,0,0,0,0,0,2,hsa-miR-532-5p,0.0164,0.1118,0.5628,-0.25,-0.49,N/A,2007
ZNF667,ENST00000591790.1,zinc finger protein 667 ,24,1,1,0,0,1,0,1,0,1,hsa-miR-532-5p,0.0076,0.0551,0.3552,-0.25,-0.25,N/A,"NULL
"
APBB2,ENST00000295974.8,"amyloid beta (A4) precursor protein-binding, family B, member 2 ",704,1,1,0,0,0,0,0,0,4,hsa-miR-532-5p,0.0128,0.0884,0.45,-0.25,-0.3,N/A,"NULL
"
NAA50,ENST00000240922.3,"N(alpha)-acetyltransferase 50, NatE catalytic subunit ",260,1,1,0,0,2,0,1,1,1,hsa-miR-532-5p,0.0129,0.0874,0.4022,-0.25,-0.48,N/A,"NULL
"
SC5D,ENST00000264027.4,sterol-C5-desaturase ,1299,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0041,0.0298,0.1876,-0.24,-0.25,N/A,"NULL
"
CD40LG,ENST00000370629.2,CD40 ligand ,5,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0068,0.0481,0.2718,-0.24,-0.24,N/A,"NULL
"
GFRA1,ENST00000439649.3,GDNF family receptor alpha 1 ,69,1,1,0,0,2,0,2,0,1,hsa-miR-532-5p,0.0119,0.0835,0.4628,-0.24,-0.4,N/A,"NULL
"
TMUB2,ENST00000590235.1,transmembrane and ubiquitin-like domain containing 2 ,1043,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0049,0.0354,0.215,-0.23,-0.23,N/A,2007
NKD1,ENST00000268459.3,naked cuticle homolog 1 (Drosophila) ,26,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0083,0.0586,0.3282,-0.23,-0.25,N/A,2007
SF3A3,ENST00000373019.4,"splicing factor 3a, subunit 3, 60kDa ",59,1,0,1,0,1,0,1,0,0,hsa-miR-532-5p,0.0108,0.0772,0.4709,-0.23,-0.29,N/A,"NULL
"
SH3BGRL2,ENST00000369838.4,SH3 domain binding glutamic acid-rich protein like 2 ,32,1,0,1,0,2,0,1,1,0,hsa-miR-532-5p,0.0056,0.0404,0.2503,-0.23,-0.48,N/A,"NULL
"
RAB18,ENST00000356940.6,"RAB18, member RAS oncogene family ",1410,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0038,0.0272,0.1529,-0.23,-0.44,N/A,"NULL
"
ERCC6L,ENST00000373657.1,"excision repair cross-complementing rodent repair deficiency, complementation group 6-like ",82,1,0,0,1,0,0,0,0,1,hsa-miR-532-5p,0.004,0.0292,0.1888,-0.23,-0.23,N/A,"NULL
"
MED1,ENST00000300651.6,mediator complex subunit 1 ,87,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0094,0.066,0.3548,-0.22,-0.22,N/A,"NULL
"
HNRNPDL,ENST00000602300.1,heterogeneous nuclear ribonucleoprotein D-like ,217,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0063,0.046,0.2987,-0.22,-0.22,N/A,"NULL
"
ATP2C1,ENST00000505330.1,"ATPase, Ca++ transporting, type 2C, member 1 ",771,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.007,0.05,0.3045,-0.22,-0.23,N/A,2007
CCR4,ENST00000330953.5,chemokine (C-C motif) receptor 4 ,5,1,0,1,0,0,0,0,0,2,hsa-miR-532-5p,0.0159,0.111,0.6054,-0.21,-0.21,N/A,"NULL
"
CLPX,ENST00000300107.3,caseinolytic mitochondrial matrix peptidase chaperone subunit ,251,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.006,0.0432,0.2723,-0.21,-0.22,N/A,"NULL
"
PSMD5,ENST00000210313.3,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5 ",3846,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0139,0.0957,0.472,-0.21,-0.21,N/A,"NULL
"
SRRM2,ENST00000301740.8,serine/arginine repetitive matrix 2 ,5111,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0065,0.0465,0.2772,-0.21,-0.21,N/A,2007
NSG2,ENST00000303177.3,Neuron-specific protein family member 2  ,5,1,0,1,0,0,0,0,0,2,hsa-miR-532-5p,0.0102,0.0733,0.4612,-0.21,-0.21,N/A,2007
NUDT3,ENST00000607016.1,nudix (nucleoside diphosphate linked moiety X)-type motif 3 ,190,1,0,1,0,1,0,0,1,1,hsa-miR-532-5p,0.0143,0.0993,0.5125,-0.21,-0.22,N/A,"NULL
"
KLHL7,ENST00000339077.5,kelch-like family member 7 ,90,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0038,0.0278,0.1764,-0.21,-0.21,N/A,"NULL
"
SPAG6,ENST00000313311.6,sperm associated antigen 6 ,23,1,0,1,0,1,0,0,1,1,hsa-miR-532-5p,0.0073,0.0525,0.3307,-0.2,-0.31,N/A,"NULL
"
EPHA4,ENST00000281821.2,EPH receptor A4 ,64,1,1,0,0,0,0,0,0,1,hsa-miR-532-5p,0.0149,0.1021,0.5133,-0.2,-0.27,N/A,2007
CHD9,ENST00000566029.1,chromodomain helicase DNA binding protein 9 ,447,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0143,0.1012,0.5735,-0.19,-0.2,N/A,2007
RPL14,ENST00000416518.1,ribosomal protein L14 ,8294,1,0,1,0,1,0,0,1,3,hsa-miR-532-5p,0.0052,0.0374,0.2422,-0.19,-0.32,N/A,"NULL
"
CAMK2N1,ENST00000375078.3,calcium/calmodulin-dependent protein kinase II inhibitor 1 ,6631,1,0,1,0,1,0,1,0,1,hsa-miR-532-5p,0.0028,0.0206,0.1422,-0.19,-0.31,N/A,2007
ADAM22,ENST00000398204.4,ADAM metallopeptidase domain 22 ,115,1,1,0,0,2,1,1,0,2,hsa-miR-532-5p,0.019,0.1325,0.7127,-0.19,-0.38,N/A,"NULL
"
XPO1,ENST00000401558.2,"exportin 1 (CRM1 homolog, yeast) ",404,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0043,0.0308,0.1849,-0.19,-0.24,N/A,"NULL
"
PURB,ENST00000395699.2,purine-rich element binding protein B ,497,1,0,0,1,3,0,1,2,1,hsa-miR-532-5p,0.0126,0.0912,0.5928,-0.19,-0.3,N/A,"NULL
"
CCDC43,ENST00000457422.2,coiled-coil domain containing 43 ,36,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.003,0.0217,0.1406,-0.18,-0.18,N/A,"NULL
"
IDE,ENST00000265986.6,insulin-degrading enzyme ,446,2,0,1,1,0,0,0,0,3,hsa-miR-532-5p,0.0146,0.1036,0.599,-0.18,-0.23,N/A,"NULL
"
PTPRJ,ENST00000418331.2,"protein tyrosine phosphatase, receptor type, J ",145,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0107,0.0743,0.383,-0.18,-0.2,N/A,"NULL
"
TMEM168,ENST00000312814.6,transmembrane protein 168 ,195,1,0,0,1,1,0,0,1,1,hsa-miR-532-5p,0.0054,0.039,0.2418,-0.18,-0.21,N/A,"NULL
"
VAMP1,ENST00000361716.3,vesicle-associated membrane protein 1 (synaptobrevin 1) ,8,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0102,0.0724,0.4211,-0.18,-0.18,N/A,"NULL
"
PDCD4,ENST00000280154.7,programmed cell death 4 (neoplastic transformation inhibitor) ,612,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0046,0.0331,0.2015,-0.18,-0.21,N/A,2007
HMGB3,ENST00000325307.7,high mobility group box 3 ,295,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0042,0.0303,0.1966,-0.18,-0.18,N/A,2007
CSF1,ENST00000329608.6,colony stimulating factor 1 (macrophage) ,290,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0103,0.0731,0.4167,-0.17,-0.17,N/A,"NULL
"
TRHDE,ENST00000261180.4,thyrotropin-releasing hormone degrading enzyme ,34,1,1,0,0,0,0,0,0,2,hsa-miR-532-5p,0.009,0.0636,0.3691,-0.17,-0.3,N/A,"NULL
"
CAMK2G,ENST00000351293.3,calcium/calmodulin-dependent protein kinase II gamma ,14,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0039,0.0278,0.1781,-0.17,-0.17,N/A,2007
FAM208B,ENST00000328090.5,"family with sequence similarity 208, member B ",42,1,1,0,0,0,0,0,0,0,hsa-miR-532-5p,0.0064,0.0462,0.2924,-0.17,-0.19,N/A,"NULL
"
KLHL11,ENST00000319121.3,kelch-like family member 11 ,16,1,0,1,0,1,0,0,1,3,hsa-miR-532-5p,0.0111,0.0795,0.4935,-0.17,-0.25,N/A,"NULL
"
RP11-1055B8.7,ENST00000307745.7,BAH and coiled-coil domain-containing protein 1  ,247,1,0,1,0,0,0,0,0,1,hsa-miR-532-5p,0.0087,0.063,0.3937,-0.17,-0.17,N/A,"NULL
"
GALNT3,ENST00000392701.3,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) ,40,1,0,0,1,0,0,0,0,0,hsa-miR-532-5p,0.0037,0.0267,0.1782,-0.17,-0.17,N/A,"NULL
"
KIN,ENST00000379562.4,"KIN, antigenic determinant of recA protein homolog (mouse) ",443,1,0,1,0,0,0,0,0,4,hsa-miR-532-5p,0.0044,0.0317,0.2053,-0.16,-0.16,N/A,"NULL
"
PAPOLG,ENST00000238714.3,poly(A) polymerase gamma ,49,1,0,1,0,1,0,0,1,2,hsa-miR-532-5p,0.0135,0.0964,0.5866,-0.16,-0.17,N/A,2007
ZNF536,ENST00000355537.3,zinc finger protein 536 ,5,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0076,0.0545,0.3369,-0.16,-0.16,N/A,2007
EXOC5,ENST00000413566.2,exocyst complex component 5 ,242,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0173,0.1217,0.6858,-0.15,-0.19,N/A,"NULL
"
ATP13A3,ENST00000439040.1,ATPase type 13A3 ,243,1,1,0,0,1,0,1,0,0,hsa-miR-532-5p,0.0091,0.0648,0.3733,-0.15,-0.25,N/A,"NULL
"
UBAP2L,ENST00000343815.6,ubiquitin associated protein 2-like ,3367,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.002,0.0149,0.101,-0.15,-0.15,N/A,"NULL
"
KLF12,ENST00000377669.2,Kruppel-like factor 12 ,251,1,0,1,0,1,0,0,1,3,hsa-miR-532-5p,0.0123,0.0893,0.5765,-0.15,-0.17,N/A,2007
TMEM236,ENST00000377495.1,transmembrane protein 236 ,5,1,0,1,0,1,0,0,1,0,hsa-miR-532-5p,0.0147,0.1035,0.5743,-0.15,-0.15,N/A,"NULL
"
RBM8A,ENST00000330165.8,RNA binding motif protein 8A ,33,1,0,1,0,1,0,1,0,1,hsa-miR-532-5p,0.0113,0.0807,0.4692,-0.15,-0.23,N/A,"NULL
"
BDP1,ENST00000380675.2,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB ",12,1,0,1,0,0,0,0,0,3,hsa-miR-532-5p,0.0134,0.0973,0.6237,-0.15,-0.15,N/A,"NULL
"
RPS6,ENST00000380394.4,ribosomal protein S6 ,380,1,0,1,0,1,1,0,0,1,hsa-miR-532-5p,0.0058,0.0401,0.2013,-0.14,-0.81,N/A,"NULL
"
FAM63B,ENST00000559228.1,"family with sequence similarity 63, member B ",41,1,1,0,0,1,0,0,1,2,hsa-miR-532-5p,0.0121,0.0871,0.5371,-0.14,-0.35,N/A,2007
CEP57L1,ENST00000368968.2,centrosomal protein 57kDa-like 1 ,90,1,1,0,0,1,1,0,0,1,hsa-miR-532-5p,0.0094,0.0642,0.3036,-0.14,-0.52,N/A,"NULL
"
GAREM,ENST00000399218.4,"GRB2 associated, regulator of MAPK1 ",536,1,0,1,0,2,0,2,0,1,hsa-miR-532-5p,0.016,0.1147,0.6983,-0.14,-0.2,N/A,"NULL
"
KIAA1919,ENST00000368847.4,KIAA1919 ,73,1,0,1,0,1,0,0,1,2,hsa-miR-532-5p,0.0104,0.0746,0.4553,-0.14,-0.18,N/A,"NULL
"
HELLS,ENST00000394036.1,"helicase, lymphoid-specific ",329,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0055,0.0391,0.2313,-0.14,-0.14,N/A,"NULL
"
TWIST1,ENST00000242261.5,twist basic helix-loop-helix transcription factor 1 ,190,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0026,0.019,0.1258,-0.14,-0.14,N/A,"NULL
"
BACH1,ENST00000286800.3,"BTB and CNC homology 1, basic leucine zipper transcription factor 1 ",273,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0071,0.0505,0.3008,-0.13,-0.16,N/A,"NULL
"
GPC4,ENST00000370828.3,glypican 4 ,542,1,0,0,1,1,0,1,0,2,hsa-miR-532-5p,0.0049,0.0351,0.2199,-0.13,-0.33,N/A,2007
YIPF6,ENST00000462683.1,"Yip1 domain family, member 6 ",888,1,0,1,0,0,0,0,0,2,hsa-miR-532-5p,0.0097,0.0688,0.3928,-0.13,-0.21,N/A,2007
RP11-480I12.4,ENST00000330493.5,"Putative inactive alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein LOC641515  ",5,1,0,0,1,0,0,0,0,0,hsa-miR-532-5p,0.0043,0.0311,0.2024,-0.13,-0.13,N/A,"NULL
"
ZNRF1,ENST00000335325.4,"zinc and ring finger 1, E3 ubiquitin protein ligase ",519,1,0,1,0,0,0,0,0,0,hsa-miR-532-5p,0.0029,0.0208,0.1363,-0.13,-0.13,N/A,"NULL
"
