Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
TSPAN12,ENST00000222747.3,tetraspanin 12 ,554,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0152,0.106,0.5576,-0.67,-0.69,0.51,"2009, 2011
"
AC011897.1,ENST00000581929.1,Uncharacterized protein  ,12,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0122,0.0846,0.4337,-0.65,-0.65,0.32,"NULL
"
C1R,ENST00000542285.1,"complement component 1, r subcomponent ",1944,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0083,0.0586,0.3375,-0.65,-0.65,0.43,2011
CORO2A,ENST00000343933.5,"coronin, actin binding protein, 2A ",493,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0129,0.0899,0.4771,-0.65,-0.65,0.68,"2007, 2009, 2011
"
FGF9,ENST00000382353.5,fibroblast growth factor 9 ,136,1,1,0,0,1,0,1,0,0,hsa-miR-140-5p,0.0107,0.0745,0.3873,-0.62,-0.76,0.78,"2007, 2009, 2011
"
NFE2L2,ENST00000397063.4,"nuclear factor, erythroid 2-like 2 ",1964,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0082,0.0577,0.314,-0.61,-0.61,0.38,"2007, 2009, 2011
"
HDGFRP3,ENST00000299633.4,Hepatoma-derived growth factor-related protein 3  ,2577,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0108,0.0769,0.4572,-0.61,-0.61,0.45,"NULL
"
NPL,ENST00000367553.1,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) ,19,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0073,0.052,0.3043,-0.59,-0.59,0.19,"NULL
"
AC026703.1,ENST00000326958.1,,182,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0104,0.0719,0.3647,-0.57,-0.57,0.74,"NULL
"
KLF9,ENST00000377126.2,Kruppel-like factor 9 ,20,2,1,1,0,1,0,0,1,0,hsa-miR-140-5p,0.0122,0.0875,0.5399,-0.55,-0.71,0.74,"2007, 2011
"
PSRC1,ENST00000409267.1,proline/serine-rich coiled-coil 1 ,2239,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0084,0.0593,0.3304,-0.54,-0.54,0.53,"2009, 2011
"
EGR2,ENST00000242480.3,early growth response 2 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0102,0.0711,0.3634,-0.54,-0.54,0.63,2011
WASF1,ENST00000392587.2,"WAS protein family, member 1 ",55,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0088,0.0617,0.3287,-0.51,-0.51,0.35,"2009, 2011
"
FBXO45,ENST00000311630.6,F-box protein 45 ,72,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.0159,0.11,0.5664,-0.51,-0.55,0.78,"2009, 2011
"
TMEM115,ENST00000266025.3,transmembrane protein 115 ,1346,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.015,0.1031,0.5162,-0.51,-0.51,0.65,"2009, 2011
"
BAG2,ENST00000370693.5,BCL2-associated athanogene 2 ,2237,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0144,0.1015,0.5595,-0.5,-0.5,0.46,"2009, 2011
"
DKFZP434H0512,ENST00000600140.1,Protein LOC100506667; Putative uncharacterized protein DKFZp434H0512  ,5,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.009,0.0626,0.3303,-0.5,-0.5,0.43,"NULL
"
GPR161,ENST00000367838.1,G protein-coupled receptor 161 ,1712,1,1,0,0,1,0,0,1,1,hsa-miR-140-5p,0.0166,0.1171,0.66,-0.49,-0.51,0.77,"2007, 2009, 2011
"
LAMP2,ENST00000371335.4,lysosomal-associated membrane protein 2 ,3095,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.015,0.1018,0.472,-0.48,-0.5,0.69,2011
FAM105A,ENST00000274217.3,"family with sequence similarity 105, member A ",2613,1,1,0,0,1,0,0,1,2,hsa-miR-140-5p,0.0079,0.0562,0.3194,-0.48,-0.56,0.45,"2009, 2011
"
TMEM260,ENST00000261556.6,transmembrane protein 260 ,44,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0284,0.1793,0.6536,-0.48,-0.48,0.69,"2007, 2009, 2011
"
KAT2B,ENST00000263754.4,K(lysine) acetyltransferase 2B ,117,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0119,0.0821,0.4112,-0.48,-0.48,0.57,"2007, 2009, 2011
"
RNF19A,ENST00000519449.1,"ring finger protein 19A, RBR E3 ubiquitin protein ligase ",1674,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0141,0.0996,0.5682,-0.48,-0.48,0.51,"2007, 2009, 2011
"
CAPN1,ENST00000533820.1,"calpain 1, (mu/I) large subunit ",538,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0134,0.0914,0.4263,-0.48,-0.48,0.68,"2007, 2009, 2011
"
LHX2,ENST00000373615.4,LIM homeobox 2 ,326,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0135,0.0929,0.4546,-0.48,-0.48,0.54,"NULL
"
STK3,ENST00000419617.2,serine/threonine kinase 3 ,25,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0076,0.0537,0.2952,-0.47,-0.47,0.47,"2009, 2011
"
UBE2V1,ENST00000371657.5,ubiquitin-conjugating enzyme E2 variant 1 ,1621,2,0,1,1,0,0,0,0,0,hsa-miR-140-5p,0.0093,0.0667,0.4055,-0.47,-0.47,0.71,2011
RAN,ENST00000543796.1,"RAN, member RAS oncogene family ",1418,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0059,0.0416,0.2367,-0.47,-0.55,0.31,"NULL
"
KLHL5,ENST00000261425.3,kelch-like family member 5 ,366,1,1,0,0,0,0,0,0,2,hsa-miR-140-5p,0.0076,0.0537,0.3093,-0.46,-0.48,0.3,2011
RLIM,ENST00000332687.6,"ring finger protein, LIM domain interacting ",662,2,1,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0135,0.096,0.544,-0.46,-0.46,0.7,2011
SEL1L,ENST00000336735.4,sel-1 suppressor of lin-12-like (C. elegans) ,1271,1,1,0,0,1,0,0,1,3,hsa-miR-140-5p,0.0133,0.0952,0.5757,-0.46,-0.51,0.65,"2007, 2009, 2011
"
MINPP1,ENST00000371994.4,multiple inositol-polyphosphate phosphatase 1 ,1079,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0065,0.0472,0.3017,-0.45,-0.45,< 0.1,"NULL
"
SEC22C,ENST00000264454.3,SEC22 vesicle trafficking protein homolog C (S. cerevisiae) ,855,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.014,0.0982,0.5471,-0.45,-0.48,0.66,"NULL
"
CELF2,ENST00000379261.4,"CUGBP, Elav-like family member 2 ",45,2,0,2,0,1,0,1,0,2,hsa-miR-140-5p,0.0229,0.1624,0.928,-0.44,-0.44,0.87,"2007, 2009, 2011
"
KCND3,ENST00000369697.1,"potassium voltage-gated channel, Shal-related subfamily, member 3 ",23,1,0,1,0,1,0,1,0,2,hsa-miR-140-5p,0.0132,0.0956,0.6234,-0.44,-0.44,0.66,"NULL
"
PRRG1,ENST00000378628.4,proline rich Gla (G-carboxyglutamic acid) 1 ,1122,1,0,0,1,0,0,0,0,5,hsa-miR-140-5p,0.0151,0.1089,0.7004,-0.43,-0.43,0.41,"2009, 2011
"
TMEM218,ENST00000532156.1,transmembrane protein 218 ,553,1,0,1,0,1,0,1,0,2,hsa-miR-140-5p,0.0103,0.0736,0.4421,-0.43,-0.59,< 0.1,"NULL
"
IPO7,ENST00000379719.3,importin 7 ,1331,1,1,0,0,1,0,0,1,0,hsa-miR-140-5p,0.0141,0.0999,0.5702,-0.42,-0.42,0.52,2011
VEZF1,ENST00000584396.1,vascular endothelial zinc finger 1 ,209,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0106,0.0746,0.416,-0.42,-0.43,0.69,"2007, 2009, 2011
"
FCHO2,ENST00000430046.2,FCH domain only 2 ,158,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0181,0.1239,0.6152,-0.41,-0.41,0.6,"2009, 2011
"
TIMM23,ENST00000260867.4,translocase of inner mitochondrial membrane 23 homolog (yeast) ,2176,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.01,0.0696,0.3576,-0.41,-0.41,0.56,"NULL
"
CEP63,ENST00000337090.3,centrosomal protein 63kDa ,191,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0078,0.0547,0.3004,-0.41,-0.41,0.51,2011
NOG,ENST00000332822.4,noggin ,107,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0113,0.0745,0.3051,-0.41,-0.8,0.69,"NULL
"
PPTC7,ENST00000354300.3,PTC7 protein phosphatase homolog (S. cerevisiae) ,817,1,1,0,0,0,0,0,0,2,hsa-miR-140-5p,0.0109,0.0763,0.4183,-0.41,-0.41,0.76,"2007, 2009, 2011
"
NT5C1A,ENST00000235628.1,"5'-nucleotidase, cytosolic IA ",4,1,0,1,0,0,0,0,0,3,hsa-miR-140-5p,0.0179,0.1273,0.7652,-0.4,-0.4,0.48,"NULL
"
LRP4,ENST00000378623.1,low density lipoprotein receptor-related protein 4 ,152,1,1,0,0,0,0,0,0,2,hsa-miR-140-5p,0.0169,0.1167,0.6046,-0.4,-0.4,0.77,"2007, 2009, 2011
"
AARS,ENST00000261772.8,alanyl-tRNA synthetase ,20942,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0061,0.0433,0.2546,-0.4,-0.4,0.42,"NULL
"
SCRN1,ENST00000242059.5,secernin 1 ,29,1,0,1,0,2,1,0,1,0,hsa-miR-140-5p,0.008,0.0576,0.3699,-0.4,-0.51,0.55,2011
BCL2L1,ENST00000376062.2,BCL2-like 1 ,7726,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0075,0.0526,0.2909,-0.4,-0.4,0.54,"2007, 2009, 2011
"
ELAVL2,ENST00000380110.4,ELAV like neuron-specific RNA binding protein 2 ,78,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0098,0.0678,0.3428,-0.4,-0.44,0.57,"2007, 2009, 2011
"
NDRG3,ENST00000373803.2,NDRG family member 3 ,960,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0077,0.0553,0.3484,-0.4,-0.4,0.47,2011
SLAIN1,ENST00000418532.1,"SLAIN motif family, member 1 ",842,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0052,0.0373,0.2227,-0.39,-0.39,0.35,2007
SNX12,ENST00000374274.3,sorting nexin 12 ,849,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0231,0.1503,0.6073,-0.39,-0.39,0.61,"NULL
"
ACSL6,ENST00000379264.2,acyl-CoA synthetase long-chain family member 6 ,7,1,0,0,1,1,1,0,0,0,hsa-miR-140-5p,0.0093,0.0669,0.4199,-0.39,-0.39,0.37,"2007, 2011
"
HS2ST1,ENST00000370550.5,heparan sulfate 2-O-sulfotransferase 1 ,787,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.0201,0.1384,0.7007,-0.39,-0.45,0.68,"2007, 2009, 2011
"
FES,ENST00000328850.3,feline sarcoma oncogene ,42,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0107,0.0738,0.3706,-0.39,-0.39,0.45,"NULL
"
KLF6,ENST00000542957.1,Kruppel-like factor 6 ,4644,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0092,0.0647,0.3485,-0.39,-0.39,0.69,2011
REST,ENST00000309042.7,RE1-silencing transcription factor ,31,1,1,0,0,1,0,1,0,0,hsa-miR-140-5p,0.01,0.0699,0.3641,-0.38,-0.56,0.33,"NULL
"
VEGFA,ENST00000417285.2,vascular endothelial growth factor A ,907,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0132,0.0911,0.4667,-0.38,-0.39,0.48,"2007, 2009, 2011
"
NUMBL,ENST00000252891.4,numb homolog (Drosophila)-like ,323,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0105,0.073,0.3832,-0.38,-0.38,0.58,"2007, 2009, 2011
"
TMEM189-UBE2V1,ENST00000341698.2,TMEM189-UBE2V1 readthrough ,1621,2,0,1,1,0,0,0,0,0,hsa-miR-140-5p,0.0093,0.0667,0.4055,-0.38,-0.38,0.71,"2007, 2009, 2007, 2009
"
NCSTN,ENST00000294785.5,nicastrin ,578,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0055,0.0399,0.2522,-0.38,-0.38,0.55,"2009, 2011
"
RAB10,ENST00000264710.4,"RAB10, member RAS oncogene family ",998,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0107,0.0748,0.4096,-0.38,-0.38,0.61,"2009, 2011
"
TMEM189,ENST00000557021.1,transmembrane protein 189 ,1621,2,0,1,1,0,0,0,0,0,hsa-miR-140-5p,0.0093,0.0667,0.4055,-0.38,-0.38,0.71,2011
ANKFY1,ENST00000341657.4,ankyrin repeat and FYVE domain containing 1 ,969,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.017,0.1147,0.5225,-0.38,-0.38,0.77,"2009, 2011
"
BMP2,ENST00000378827.4,bone morphogenetic protein 2 ,1193,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.007,0.0493,0.2822,-0.38,-0.38,0.65,"2007, 2009, 2011
"
TLR4,ENST00000355622.6,toll-like receptor 4 ,47,1,1,0,0,2,0,0,2,0,hsa-miR-140-5p,0.0084,0.0591,0.3313,-0.38,-0.42,0.44,"2009, 2011
"
TMEM123,ENST00000361236.3,transmembrane protein 123 ,2135,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0113,0.0793,0.4282,-0.37,-0.38,0.51,"2009, 2011
"
DTNA,ENST00000283365.9,"dystrobrevin, alpha ",144,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.0121,0.0865,0.5201,-0.37,-0.38,0.45,"NULL
"
HAND2,ENST00000359562.4,heart and neural crest derivatives expressed 2 ,30,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0156,0.1047,0.461,-0.37,-0.38,0.59,"2007, 2009, 2011
"
CAND1,ENST00000545606.1,cullin-associated and neddylation-dissociated 1 ,1568,1,1,0,0,1,0,1,0,2,hsa-miR-140-5p,0.0077,0.0545,0.314,-0.36,-0.47,0.81,"NULL
"
CAMK2N1,ENST00000375078.3,calcium/calmodulin-dependent protein kinase II inhibitor 1 ,6631,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0065,0.0463,0.2636,-0.36,-0.36,0.57,"2007, 2009
"
GALNT16,ENST00000337827.4,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 16 ,35,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0131,0.0919,0.4953,-0.36,-0.36,0.62,"2007, 2009, 2011
"
KIF1B,ENST00000377086.1,kinesin family member 1B ,234,1,1,0,0,1,0,0,1,0,hsa-miR-140-5p,0.012,0.0862,0.5432,-0.36,-0.36,0.21,2011
TTK,ENST00000509894.1,TTK protein kinase ,539,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0114,0.0813,0.4783,-0.36,-0.41,0.71,"2007, 2011
"
KIAA1432,ENST00000414202.2,KIAA1432 ,1366,1,0,0,1,1,0,0,1,0,hsa-miR-140-5p,0.0087,0.0623,0.3788,-0.36,-0.37,0.61,"NULL
"
CTSV,ENST00000259470.5,cathepsin V ,601,1,0,0,1,1,0,0,1,1,hsa-miR-140-5p,0.0045,0.0324,0.2142,-0.36,-0.47,0.42,2011
NAA20,ENST00000310450.4,"N(alpha)-acetyltransferase 20, NatB catalytic subunit ",1586,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0085,0.06,0.3446,-0.35,-0.35,0.54,"2007, 2009, 2011
"
CREB3L1,ENST00000529193.1,cAMP responsive element binding protein 3-like 1 ,160,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0091,0.0653,0.4134,-0.35,-0.35,0.52,"2007, 2009, 2011
"
MLIP,ENST00000274897.5,muscular LMNA-interacting protein ,8,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.004,0.0291,0.196,-0.35,-0.35,0.46,"NULL
"
SPRY1,ENST00000394339.2,"sprouty homolog 1, antagonist of FGF signaling (Drosophila) ",150,1,0,1,0,1,1,0,0,1,hsa-miR-140-5p,0.0109,0.0768,0.4382,-0.35,-0.46,0.53,"NULL
"
SIAH1,ENST00000380006.2,siah E3 ubiquitin protein ligase 1 ,34,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0147,0.0996,0.4496,-0.35,-0.35,0.58,"2007, 2009, 2011
"
NCKAP1,ENST00000361354.4,NCK-associated protein 1 ,700,1,0,1,0,2,0,2,0,2,hsa-miR-140-5p,0.0083,0.0582,0.3179,-0.34,-0.4,0.74,"2009, 2011
"
GLRX5,ENST00000331334.4,glutaredoxin 5 ,6308,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0075,0.0526,0.291,-0.34,-0.34,0.59,"2009, 2011
"
GPD1L,ENST00000282541.5,glycerol-3-phosphate dehydrogenase 1-like ,130,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0085,0.0606,0.3583,-0.34,-0.39,0.48,2011
GPRIN3,ENST00000609438.1,GPRIN family member 3 ,213,1,0,1,0,2,1,1,0,3,hsa-miR-140-5p,0.0184,0.1316,0.7861,-0.34,-0.51,0.44,"NULL
"
MIPOL1,ENST00000327441.7,mirror-image polydactyly 1 ,45,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0085,0.0598,0.3297,-0.34,-0.34,0.61,"2007, 2009, 2011
"
BACH1,ENST00000286800.3,"BTB and CNC homology 1, basic leucine zipper transcription factor 1 ",273,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0144,0.095,0.3918,-0.34,-0.46,0.66,"2007, 2009, 2011
"
SMOC2,ENST00000356284.2,SPARC related modular calcium binding 2 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0073,0.0517,0.2871,-0.34,-0.34,0.7,"2009, 2011
"
SRCAP,ENST00000262518.4,Snf2-related CREBBP activator protein ,643,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0109,0.0767,0.4158,-0.33,-0.33,0.77,"2007, 2009, 2011
"
ADAM10,ENST00000260408.3,ADAM metallopeptidase domain 10 ,385,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0096,0.0671,0.36,-0.33,-0.36,0.7,"2007, 2009, 2011
"
ERLEC1,ENST00000185150.4,endoplasmic reticulum lectin 1 ,4397,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.006,0.0429,0.2583,-0.33,-0.34,0.61,"2009, 2011
"
PITX2,ENST00000394595.3,paired-like homeodomain 2 ,75,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0165,0.1102,0.4779,-0.33,-0.33,0.55,"2007, 2009, 2011
"
TULP4,ENST00000367094.2,tubby like protein 4 ,93,1,0,1,0,2,0,1,1,1,hsa-miR-140-5p,0.0198,0.1366,0.7144,-0.33,-0.34,0.58,"NULL
"
WNK4,ENST00000246914.5,WNK lysine deficient protein kinase 4 ,25,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0076,0.0533,0.2877,-0.32,-0.42,0.69,"2007, 2009, 2011
"
PFN2,ENST00000239940.7,profilin 2 ,2184,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.012,0.0824,0.3989,-0.32,-0.32,0.47,"NULL
"
EAF1,ENST00000396842.2,ELL associated factor 1 ,63,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0081,0.058,0.3487,-0.32,-0.32,0.46,"2009, 2011
"
LPHN2,ENST00000370715.1,latrophilin 2 ,407,1,1,0,0,1,0,0,1,1,hsa-miR-140-5p,0.0092,0.0647,0.3658,-0.32,-0.4,0.72,"2009, 2011
"
ARL15,ENST00000502271.1,ADP-ribosylation factor-like 15 ,119,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.0073,0.0528,0.3364,-0.32,-0.36,0.32,"2007, 2009, 2011
"
ADAMTS5,ENST00000284987.5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5 ",68,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.0161,0.1126,0.6026,-0.32,-0.34,0.67,"2007, 2009, 2011
"
PIN1,ENST00000247970.4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 ",934,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0084,0.0587,0.3177,-0.32,-0.32,0.59,"2009, 2011
"
BMP2K,ENST00000335016.5,BMP2 inducible kinase ,164,1,0,0,1,1,0,0,1,0,hsa-miR-140-5p,0.0093,0.0671,0.4183,-0.32,-0.33,0.53,"NULL
"
GNG12,ENST00000370982.3,"guanine nucleotide binding protein (G protein), gamma 12 ",1362,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0119,0.0837,0.4669,-0.32,-0.32,0.54,"2009, 2011
"
RGMB,ENST00000308234.7,"RGM domain family, member B ",6087,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0095,0.066,0.3449,-0.31,-0.4,0.59,"2009, 2011
"
ANKRD12,ENST00000262126.4,ankyrin repeat domain 12 ,11,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0194,0.1291,0.5685,-0.31,-0.31,0.69,"2009, 2011
"
RAP2B,ENST00000323534.2,"RAP2B, member of RAS oncogene family ",594,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0075,0.0535,0.3248,-0.31,-0.31,0.52,"NULL
"
FAM175B,ENST00000298492.5,"family with sequence similarity 175, member B ",525,1,1,0,0,0,0,0,0,3,hsa-miR-140-5p,0.0067,0.0485,0.3034,-0.31,-0.37,0.48,2007
TTYH3,ENST00000258796.7,tweety family member 3 ,188,1,1,0,0,1,0,1,0,0,hsa-miR-140-5p,0.0098,0.0713,0.4605,-0.3,-0.3,0.71,"2007, 2009, 2011
"
EIF4G2,ENST00000526148.1,"eukaryotic translation initiation factor 4 gamma, 2 ",61971,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0111,0.0776,0.418,-0.3,-0.3,0.58,"2007, 2009, 2011
"
TTYH2,ENST00000269346.4,tweety family member 2 ,16,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0096,0.0669,0.3485,-0.3,-0.36,0.48,"2007, 2009, 2011
"
FEN1,ENST00000305885.2,flap structure-specific endonuclease 1 ,31,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0073,0.052,0.3011,-0.3,-0.3,0.44,2011
AMER2,ENST00000357816.2,APC membrane recruitment protein 2 ,7,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.0106,0.0757,0.4608,-0.3,-0.31,0.2,2011
ARHGAP19,ENST00000358531.4,Rho GTPase activating protein 19 ,1051,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0092,0.0656,0.3832,-0.3,-0.3,0.74,"2009, 2011
"
FAM214A,ENST00000261844.7,"family with sequence similarity 214, member A ",62,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0067,0.0476,0.2747,-0.3,-0.3,0.55,2007
ZBTB10,ENST00000430430.1,zinc finger and BTB domain containing 10 ,113,2,0,1,1,1,0,0,1,1,hsa-miR-140-5p,0.014,0.0993,0.5654,-0.3,-0.35,0.79,2007
SLC41A2,ENST00000258538.3,"solute carrier family 41 (magnesium transporter), member 2 ",224,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0097,0.0684,0.3812,-0.3,-0.3,0.5,"2009, 2011
"
SATB2,ENST00000417098.1,SATB homeobox 2 ,820,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0106,0.0737,0.3871,-0.3,-0.3,0.55,2011
FECH,ENST00000262093.5,ferrochelatase ,716,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.005,0.0358,0.212,-0.29,-0.32,0.48,2011
